case_idx,Client_Profile,Case_Name,Conflict_Type,integrity_score,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39,Row_Sum,Effective_Eval_Count
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,87.5,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,3,3,NA,NA,4,NA,4,4,42,12
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,85.41666667,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,3,3,NA,NA,4,NA,4,4,41,12
1,Client_1,"Elderly Investor, Capital Preservation",,92.85714286,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,4,NA,NA,NA,4,NA,4,4,52,14
1,Client_1,"Elderly Investor, Capital Preservation",,89.28571429,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,NA,NA,NA,NA,3,3,NA,NA,NA,4,NA,NA,4,NA,NA,2,NA,NA,NA,3,NA,NA,3,NA,NA,4,NA,4,NA,NA,NA,4,NA,4,4,50,14
2,Client_2,"Middle-Aged Family, Balanced Allocation",,84.61538462,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,NA,NA,4,NA,3,NA,NA,NA,4,NA,4,4,44,13
2,Client_2,"Middle-Aged Family, Balanced Allocation",,84.61538462,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,4,NA,4,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,NA,NA,4,NA,3,NA,NA,NA,4,NA,4,4,44,13
3,Client_3,High-Risk Entrepreneur,,61.25,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,2,2,NA,NA,NA,2,1,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,2,NA,1,4,2,2,3,NA,NA,4,NA,2,4,49,20
3,Client_3,High-Risk Entrepreneur,,65,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,4,2,2,NA,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,1,4,2,2,NA,2,4,2,2,3,NA,NA,4,NA,3,4,52,20
4,Client_4,Actively Managed Growth Fund Focus,,59.61538462,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,3,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,2,NA,NA,4,2,3,NA,NA,NA,4,NA,4,NA,31,13
4,Client_4,Actively Managed Growth Fund Focus,,58.33333333,Human Annotation,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",0.002798611,com2eval_2,paired,2,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,2,NA,NA,4,NA,3,NA,NA,NA,4,NA,4,NA,28,12
