Client_Profile,Case_Name,Conflict_Type,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39
Client_0,"Young Investor, Growth-Oriented Portfolio",,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,C,NA,NA,NA,B,NA,NA,B,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,B,C,NA,NA,NA,B,B,NA,NA,NA,NA,D,NA,NA,NA,B,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,B,B,NA,NA,NA,B,B,NA,NA,NA,NA,C,NA,NA,NA,B,B,NA,B,NA,B,A,NA,NA,C,C,NA,NA,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,B,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,B,NA,NA,NA,NA,D,NA,NA,NA,B,NA,C,C,NA,C,A,NA,NA,NA,B,NA,A,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,NA,NA,NA,NA,B,D,NA,NA,NA,NA,B,NA,NA,NA,NA,D,NA,NA,NA,B,NA,NA,C,NA,NA,A,NA,C,C,NA,NA,NA,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,NA,A,NA,NA,NA,NA,NA,B,C,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,B,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,NA,B,NA,NA,NA,B,B,NA,NA,NA,B,A,NA,NA,NA,NA,B,NA,NA,NA,A,A,B,B,NA,B,A,NA,B,B,B,NA,NA,NA,A,A
Client_0,"Young Investor, Growth-Oriented Portfolio",,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,B,NA,NA,NA,B,NA,NA,C,NA,NA,A,NA,NA,NA,D,NA,A,NA,A,NA
Client_0,"Young Investor, Growth-Oriented Portfolio",,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,A,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,B,NA,NA,A,NA,NA,NA,C,NA,A,NA,A,NA
Client_1,"Elderly Investor, Capital Preservation",,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,A,A,A,NA,NA,NA,NA,NA,B,B,NA,NA,NA,A,B,NA,B,NA,NA,NA,NA,NA,NA,B,A,B,B,NA,NA,A,NA,A,NA,B,NA,A,NA,A,B
