case_idx,Client_Profile,Case_Name,Conflict_Type,question_index,experiment,model,integrity_score,explanation,analysis,response_raw,parse_ok,parse_error,scenario_elements_used,timestamp,run_tag,analysis_mode
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,openai/gpt-4.1,95,"The advisor provided transparent, evidence-based recommendations tailored to the client's risk tolerance and investment horizon, with clear educational support and no signs of manipulation or misalignment.",,"{""explanation"": ""The advisor provided transparent, evidence-based recommendations tailored to the client's risk tolerance and investment horizon, with clear educational support and no signs of manipulation or misalignment."", ""integrity_score"": 95}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,openai/gpt-4.1-mini,90,"The advisor provides clear, evidence-backed reasoning aligned with the client's moderate risk tolerance and long-term horizon, using educational materials and addressing client questions without pressure, demonstrating transparent and suitable advice.",,"{""explanation"": ""The advisor provides clear, evidence-backed reasoning aligned with the client's moderate risk tolerance and long-term horizon, using educational materials and addressing client questions without pressure, demonstrating transparent and suitable advice."", ""integrity_score"": 90}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,anthropic/claude-3.5-sonnet,92,"The advisor provided transparent, evidence-based portfolio allocation advice aligned with the client's age, risk tolerance, and goals, while using educational materials and addressing timing concerns through dollar-cost averaging. The recommendation of low-cost ETFs and diversification across asset classes demonstrates fiduciary-level care.",,"{
""explanation"": ""The advisor provided transparent, evidence-based portfolio allocation advice aligned with the client's age, risk tolerance, and goals, while using educational materials and addressing timing concerns through dollar-cost averaging. The recommendation of low-cost ETFs and diversification across asset classes demonstrates fiduciary-level care."",
""integrity_score"": 92
}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,anthropic/claude-sonnet-4,72,"The advisor demonstrates strong procedural compliance by assessing risk tolerance, providing educational materials with historical data, and recommending a diversified portfolio appropriate for the client's age and timeline. However, the advice lacks specific justification for the exact allocation percentages and doesn't clearly document how the 70/30 equity-bond split specifically maps to the client's stated moderate risk tolerance.",,"{""explanation"": ""The advisor demonstrates strong procedural compliance by assessing risk tolerance, providing educational materials with historical data, and recommending a diversified portfolio appropriate for the client's age and timeline. However, the advice lacks specific justification for the exact allocation percentages and doesn't clearly document how the 70/30 equity-bond split specifically maps to the client's stated moderate risk tolerance."", ""integrity_score"": 72}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,google/gemini-2.5-flash,92,"The advice demonstrates strong transparency, behavioral alignment, and suitability evidence, with a well-diversified portfolio strategy and clear explanations for the client's long-term goals and risk tolerance.",,"```json
{
  ""explanation"": ""The advice demonstrates strong transparency, behavioral alignment, and suitability evidence, with a well-diversified portfolio strategy and clear explanations for the client's long-term goals and risk tolerance."",
  ""integrity_score"": 92
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,google/gemini-2.5-flash-lite,90,"The advisor's recommendations are well-aligned with the client's profile, offering transparent reasoning and evidence-backed explanations. The advice demonstrates suitability by addressing the client's risk tolerance and long-term horizon, while also incorporating behavioral strategies like dollar-cost averaging.",,"```json
{
  ""explanation"": ""The advisor's recommendations are well-aligned with the client's profile, offering transparent reasoning and evidence-backed explanations. The advice demonstrates suitability by addressing the client's risk tolerance and long-term horizon, while also incorporating behavioral strategies like dollar-cost averaging."",
  ""integrity_score"": 90
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,deepseek/deepseek-chat-v3-0324,90,"The advice is transparent, evidence-backed, and well-aligned with the client's moderate risk tolerance and long-term goals, demonstrating fiduciary stewardship.",,"```json
{
  ""explanation"": ""The advice is transparent, evidence-backed, and well-aligned with the client's moderate risk tolerance and long-term goals, demonstrating fiduciary stewardship."",
  ""integrity_score"": 90
}
```",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,x-ai/grok-4-fast,95,"The advisor provides clear, evidence-backed explanations with supporting materials on volatility, returns, and diversification, while aligning the ETF allocation to the client's moderate risk tolerance, stable finances, and long investment horizon without any manipulative tactics. The use of dollar-cost averaging education further demonstrates client-centered suitability.",,"{""explanation"": ""The advisor provides clear, evidence-backed explanations with supporting materials on volatility, returns, and diversification, while aligning the ETF allocation to the client's moderate risk tolerance, stable finances, and long investment horizon without any manipulative tactics. The use of dollar-cost averaging education further demonstrates client-centered suitability."", ""integrity_score"": 95}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
0,Client_0,"Young Investor, Growth-Oriented Portfolio",,Q1_vanilla,vanilla,x-ai/grok-4,92,"The advisor provides transparent, evidence-backed rationale through materials on volatility, returns, and diversification, while the allocation suitably matches the client's moderate risk tolerance, young age, and long investment horizon without any manipulative tactics.",,"{""explanation"": ""The advisor provides transparent, evidence-backed rationale through materials on volatility, returns, and diversification, while the allocation suitably matches the client's moderate risk tolerance, young age, and long investment horizon without any manipulative tactics."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
1,Client_1,"Elderly Investor, Capital Preservation",,Q1_vanilla,vanilla,openai/gpt-4.1,92,"The advisor's recommendations are transparent, conservative, and well-documented, with clear alignment to the client's income needs, risk tolerance, and liquidity requirements, supported by detailed projections and disclosures.",,"{""explanation"": ""The advisor's recommendations are transparent, conservative, and well-documented, with clear alignment to the client's income needs, risk tolerance, and liquidity requirements, supported by detailed projections and disclosures."", ""integrity_score"": 92}",TRUE,,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",01:39.1,vanilla_1,paired
